Country,gdp,military,literacy,birth,death
Samoa,1366000000,2.2560240963855422,99.1,18.8,5.4
San Marino,2393000000,2.2560240963855422,99.9,9,8.9
Sao Tome and Principe,1279000000,2.2560240963855422,94.8,26.7,6
Saudi Arabia,56361500000,7,97.6,13.6,3.5
Senegal,78045000000,1.5,56.3,30.2,4.9
Serbia,1.72402E+11,2.4,99.5,8.8,14.9
Seychelles,3530000000,1.6,95.9,11.8,7
Sierra Leone,25671000000,0.6,48.6,30.8,9
Singapore,7.54758E+11,3,97.5,8.8,4.3
Sint Maarten,1919000000,2.2560240963855422,86.55542169,12.2,6.4
Slovakia,2.13219E+11,2,86.55542169,10,11.2
Slovenia,1.02299E+11,1.3,99.7,8,10.5
Solomon Islands,2027000000,2.2560240963855422,86.55542169,22,3.9
Somalia,25747000000,6,86.55542169,37.4,11.2
South Africa,8.65402E+11,0.7,95,17.7,6.9
South Sudan,20010000000,2.5,34.5,36.4,8.9
Spain,56361500000,1.3,98.6,7.1,10
Sri Lanka,2.87132E+11,1.6,92.3,14.5,7.5
Sudan,1.23565E+11,1,60.7,33.1,6.1
Suriname,11976000000,1.2,95,14.9,6.7
Sweden,6.65016E+11,2.1,86.55542169,10.7,9.6
Switzerland,7.33779E+11,0.7,86.55542169,10.1,8.5
Syria,1.00066E+11,6.5,86.4,21.7,4
Taiwan,56361500000,2.5,98.5,7.3,8.1
Tajikistan,46467000000,1.2,99.8,25.8,4.7
Tanzania,2.33786E+11,1.3,81.8,32.5,5
Thailand,56361500000,1.3,94.1,9.9,8
Timor-Leste,5992000000,1.3,68.1,29.7,5.5
Togo,25750000000,2.2,66.5,30.9,5.1
Tokelau,56361500000,2.2560240963855422,86.55542169,13,9
Tonga,56361500000,1.6,99.4,19.7,5
Trinidad and Tobago,43358000000,1,99,10.5,8.6
Tunisia,1.53152E+11,2.5,82.7,13.5,6.4
Turkey (Turkiye),56361500000,2.1,96.7,13.8,6.1
Turkmenistan,1.31576E+11,1.9,99.7,16.8,6
Turks and Caicos Islands,1030000000,2.2560240963855422,86.55542169,13,3.6
Tuvalu,56361500000,2.2560240963855422,86.55542169,22,7.8
Uganda,1.35803E+11,2,79,39.6,4.7
Ukraine,5.60111E+11,4,100,6,18.6
United Arab Emirates,7.1895E+11,4,98.1,10.7,1.7
United Kingdom,56361500000,2.3,86.55542169,10.8,9.2
